Artist,Genre,Lyrics,Song,Years
Jana Kramer,country,"I saw your picture in a paper, Honeymoon in Jamaica, she's a lucky girl
You look so grown up in your black tux, from a ball cap in a pick up, seems like another world
You and me and our big dreams, falling in love 
We were two kids in the backseat, all fearless and young 

I got the first kiss and she'll get the last
She's got the future, I got the past
I got the class ring, she got the diamond and wedding band
I got the boy, she got the man

Yeah there's an old you that I knew,
Fake IDs to get into those spring break bars 
Back woods on a four wheel, hanging on tight, I can still feel my racing heart
And now you're cleaned up with a hair cut, nice tie and shoes 
If things were different and I had a choice, which would I choose?

I got the first kiss and she'll get the last
She's got the future and I got the past
I got the class ring, she got the diamond and wedding band
I got the boy and she got the man

I got the first kiss and shell get the last
We each got something, the other will never have
I got the long hair, hot head
She got the cool and steady hand
I got the boy and she got the man
I got the boy and she got the man",I Got The Boy,2016
LoCash,country,"I love my boots broke in, I love my camo hat
Don't mind a little paint on my jeans, yeah I roll like that
I love drivin' my truck across a railroad track
If you hit it too quick, it'll hit ya right back

I love a fresh cut field with a first frost on
How it shines like gold when the sun turned on
I love the sound of them wheels with my baby singing along
When 'The Boys Of Summer' comes on

I love my small town world
I love a country girl
I love a Friday night
Man, I love this life
The sound of an ol' dirt road
Rollin' through my mind
Man, I love, man I love
Man, I love this life

I love that county line bar where they all know my drink
The way she throws her hands up when that cover band plays
I love the taste of her lips when she's been sippin' that wine
I still get drunk on her every time

I love my small town world
I love a country girl
I love a Friday night
Man I love this life
The sound of an ol' dirt road
Rolling through mind
Man, I love, man, I love
Man, I love this life

Oh-o-o-o-oh
Man, I love this life
Oh-o-o-o-oh
Man, I love this life
(I love this life)
(I love this life)
(I love this life)

I love that ragged old barn that my grandpa made
It was my whole world back in my innocent days
I love that little white church, out on 109
It's where I hit my knees and I thank the Lord for this life of mine

I love my small town world
I love a country girl
I love a Friday night
Man I love this life
The sound of an ol' dirt road
Rolling through mind
Man, I love, man, I love
Man, I love this life

Oh-o-o-o-oh
Man, I love this life
Oh-o-o-o-oh
Man, I love this life

Oh-o-o-o-oh
Man, I love this life
Oh-o-o-o-oh
Man, I love this life",I Love This Life,2016
Tim McGraw,country,"We could have a little double wide planted in an empty field
We could have a big old white picket wrap around on a hill
Don't make a difference to me, baby, where the wind takes me, long as I'm with you, girl
We could have something or nothing, still be sitting on top of the world

'Cause when you got love, like we got love
I'm holding on to heaven, holding on to you
When you got one, like I got one
Anyway you looking, it's a hell of a view

Don't know where we're gonna be
But I know we're gonna be
Sitting on top of the world
So keep hanging on to me
Yeah, don't you wanna be
Sitting on top of the world
Top of the world

We could be rolling on a couple of Goodyear's and painted rust
We could be strolling barefoot in the sand, in the setting sun
Yeah, any way you kiss me, flips me and gets me the right kind of tipsy, girl
We could be somewhere or nowhere and still be sitting on top of the world

Cause when you got love, like we got love
I'm holding on to heaven, holding on to you
When you got one, like I got one
Anyway you looking, it's a hell of a view

Don't know where we're gonna be
But I know we're gonna be
Sitting on top of the world
So keep hanging on to me
Yeah, don't you wanna be
Sitting on top of the world
Top of the world

Top of the world

'Cause when you got love, like we got love
I'm holding on to heaven, holding on to you
When you got one, like I got one
Anyway you looking, it's a hell of a view
Cause when you got love, like we got love
I'm holding on to heaven, holding on to you
When you got one, like I got one
Anyway you looking, it's a hell of a view

Don't know where we're gonna be
But I know we're gonna be
Sitting on top of the world
So keep hanging on to me
Yeah, don't you wanna be
Sitting on top of the world
Top of the world

'Cause when you got love, like we got love
Sitting on top of the world
Cause when you got love, like we got love
Sitting on top of the world
Cause when you got love, like we got love
Sitting on top of the world
Cause when you got love, like we got love
Sitting on top of the world",Top Of The World,2016
Kelsea Ballerini,country,"I know everybody wants you
That ain't no secret
Hey baby what's your status?
And tell me are you trynna keep it?
Well, they can all back off
'Cause I know what I want
And while I've got your attention
Did I mention:

If you got a kiss on your lips that you're looking for somebody to take
If you got a heart that ain't afraid of love ain't afraid to break
If you've got a Friday night free and a shotgun seat
Well I'm just saying, I ain't got nowhere to be
So baby I'll take whatever it is you've got to give
Yeah

I'll calling dibs
On your lips
On your kiss
On your time
Boy, I'm calling dibs
On your hand
On your heart
All mine

Make everybody jealous
When I take you off the market
And get my lipstick on your right cheek
'Cause boy I've got to mark it
Oooh
So they can all back off
Yeah
'Cause I know what I want
And while I've got you listening
Come on and show me what I'm missing
Yeah

If you you've got a kiss on your lips that you're looking for somebody to take
If you've got a heart that ain't afraid to love ain't afraid to break
If you've got a Friday night free and a shotgun seat
Well I'm just saying I ain't got nowhere to be
So baby I'll take whatever it is you've got to give
Yeah, I'm calling dibs

If you've got a kiss on your lips that you're looking for somebody to take
Hey, if you've got a heart that ain't afraid to love ain't afraid to break
Heyyy, if you've got a Friday night free and a shotgun seat
Well I'm just saying I ain't got nowhere to be
So baby I'll whatever it is you've got to give
Yeah

I'm calling dibs
On your lips
On your kiss
On your time
Boy, I'm calling dibs
On your hand
On your heart
All mine

Yeah, boy I'm calling dibs
On your lips
On your kiss
On your time
Boy, I'm calling dibs
On your hand
On your heart
All mine, yeah

I'm calling dibs on your lips, on your kiss on your time, boy
I'm just trynna make you mine, boy
Ooooh
Dibs",Dibs,2016
Luke Bryan,country,"Let it fade to black
Let me run my fingers down your back
Lets whisper, lets dont talk
Baby, leave my T-shirt in the hall

Like a needle finds a groove,
Baby, well remember what to do
To drown out every distraction,
Its time we made it happen

Strip it down, strip it down
Back to you and me like it used to be
When it was an old back road with an old school beat
Cowboy boots by your little bare feet
Let it out, tell me right now
Everything I need in them white cotton sheets
Dirty dance me slow in the summertime heat
Feel my belt turn loose from these old blue jeans
We both know that we lost it somehow
Lets get it found
Strip it down, down, down

I wanna drop this cell phone now
And let it shatter on the ground
They aint holdin nothin these two hands
Until theyre holding you again

Oh, strip it down, strip it down
Back to you and me like it used to be
When it was an old back road with an old school beat
Cowboy boots by your little bare feet
Let it out, tell me right now
Everything I need in them white cotton sheets
Dirty dance me slow in the summertime heat
Feel my belt turn loose from these old blue jeans
We both know that we lost it somehow
Lets get it found
Strip it down, down, down
Strip it down, down, down

I dont wanna let you go
No, not tonight
I just wanna love you so bad, baby
So lets close our eyes

And strip it down, strip it down
Back to you and me like it used to be
When it was an old back road with an old school beat
Cowboy boots by your little bare feet
Let it out, tell me right now
Everything I need in them white cotton sheets
Dirty dance me slow in the summertime heat
Feel my belt turn loose from these old blue jeans
We both know that we lost it somehow
Lets get it found
Strip it down, down, down
Strip it down, down, down

Strip it down, down, down",Strip It Down,2016
Granger Smith,country,"Barbed wire fence carvin' out a hillside, cuttin' holes in the midday sun
Like a postcard framed in a windshield covered in dust
I love the rhythm of an old grey blacktop, 33's just whistlin' by
Steer the wheel, one handed on a two lane, hugging that line
I got the windows down, no one else around singin'

(Ooh-ooh-ooh)
Freedom is the miles I'm rollin' on
(Ooh-ooh-ooh)
Out here cruisin' to a backroad song
I feel the wheels like a melody, like a radio dialin' in strong
C'mon, c'mon sing along, sing along to my backroad song
(Ooh-ooh-ooh)
(Ooh-ooh-ooh)

I hit the brakes for an old New Holland, hammer down and pass him on up
The breeze smells like a summertime hay field's just been cut
I got the windows down, way out of town singing

(Ooh-ooh-ooh)
Freedom is the miles I'm rollin' on
(Ooh-ooh-ooh)
Out here cruisin' to a backroad song
I feel the wheels like a melody, like a radio dialin' in strong
C'mon, c'mon sing along, sing along to my backroad song
(Ooh-ooh-ooh)
(Ooh-ooh-ooh)

The only way today could get better, girl what I'm thinkin'
Is I can pick you up, you slide in this truck
And I can hear you singin'

Ooh-ooh-ooh
Let me hear you sing it
Ooh-ooh-ooh

(Ooh-ooh-ooh)
Freedom is the miles we're rollin' on
(Ooh-ooh-ooh)
Out here cruisin' to a backroad song
I feel the wheels like a melody, like a radio dialin' in strong
C'mon, c'mon sing along, sing along to my backroad song
C'mon, c'mon sing along, sing along to my backroad song

This is my backroad song
(Ooh-ooh-ooh)
(Feel the rhythm of it, feel the rhythm of it)
This is my backroad song
(Ooh-ooh-ooh)
(Feel the rhythm of it, feel the rhythm of it)
Come on, come on, sing along
(Ooh-ooh-ooh)
(Feel the rhythm of it, feel the rhythm of it)
To my backroad song
(Ooh-ooh-ooh)
(Feel the rhythm of it, feel the rhythm of it)",Backroad Song,2016
Zac Brown Band,country,"I got a death wish
Her looks can kill
She's got a red dress
Lipstick and heels
Pull me in, get me hooked like a junkie
You got me feeling so high

You're such a beautiful drug
I can't get enough
Addicted and I'm dying for a hit of your love
Got a death wish baby, baby
Don't want you to save me, save me

She lets her hair down
And all of mine stand up
Can't help but stare now
Gotta feel that touch
Her kiss, my fix, so sweet
Can't quit those lips are a habit to me
Sweet intoxication and I'm never getting sober
I can tell that the effects are taking over
Pull me in, get me hooked like a junkie
You got me feeling so high

You're such a beautiful drug
I can't get enough
Addicted and I'm dying for a hit of your love
Got a death wish baby, baby
Don't want you to save me, save me
Tonight
Whoa, whoa, whoa
Whoa, whoa, whoa

You're such a beautiful drug
I can't get enough
I'm addicted and dying for a hit of your love
I'm losing it, baby
Keep driving me crazy, crazy

Going out of my mind
Staring at you
Burning up in your fire that I've fallen into
Got a death wish baby, baby
Don't want you to save me, save me
Tonight

Whoa, whoa, whoa
Whoa, whoa, whoa
Whoa, whoa, whoa
Whoa, whoa, whoa",Beautiful Drug,2016
Carrie Underwood,country,"Shes a small town hard working woman
Its time to make a living
Working three jobs, feeding four little mouths in a run down kitchen
When youre never taking nothing
And doing nothing but giving
Its hard to be a good wife
And a good mom and a good Christian

Saying I dont drink
But sometimes I need a safe drink
Sipping for no harbor glass
Let the world fade away
Saying I dont smoke
But sometimes I need a long drag
Yeah I know it might sound bad
But sometimes I need a smoke break

Hes a big city hard working man
Just trying to climb a ladder
First generation to go to college
Instead of driving a tractor
Never had nothing handed to him on a silver platter
Its hard to be a good man, a good son
Do something good that matters

He said I dont drink
But sometimes I wanna pop that tap
Take a swing and make the world stop
And watch it fade away
He said I dont smoke
But sometimes I wanna light it up
And when things get tough
Sometimes I need a smoke break

So heres to you
And heres to when the day gets long
Go ahead I understand if you wanna take a load off

I dont drink
But sometimes I need a stiff train
Sipping for no harbor glass
Let the world fade away
I dont smoke
But sometimes I need a long drag
Yeah I know it might sound bad
But sometimes I need a smoke break

When the day gets long
When the words are turning
When the sun sets
When you need to forget
Grab that cup
Fill it up
Sip it slow
And let it all go away",Smoke Break,2016
Emily Ann Roberts & Blake Shelton,country,"Blake Shelton:
Baby, when I met you, there was peace unknown
I set out to get you with a fine toothed comb
I was soft inside
There was somethin' going on

Both:
You do somethin' to me that I can't explain
Hold me closer and I feel no pain
Every beat of my heart
We got somethin' goin' on

Blake Shelton:
Tender love is blind, it requires a dedication
Both:
Honest love, we feel, needs no conversation
We ride it together, uh huh
Making love with each other, uh huh

Both:
Islands in the stream, that is what we are
No one in between; how can we be wrong?
Sail away with me to another world
And we rely on each other, uh huh
'Cause we love one another, uh huh

Emily Ann Roberts:
I can't live without you if the love was gone
Everything is nothin' if you got no one
And you just walk in the night
Slowly losin' sight of the real thing

Both:
But that won't happen to us and we got no doubt
Too deep in love and we got no way out
And the message is clear
Emily Ann Roberts:
This could be the year for the real thing

Emily Ann Roberts:
No more will you cry, baby I will hurt you never
Both:
We start and end as one in love forever
We can ride it together, uh huh
'Cause we love one another, uh huh

Both:
Islands in the stream, that is what we are
No one in between, how can we be wrong
Sail away with me to another world
And we rely on each other, uh huh
'Cause we love one another, uh huh

Both:
Islands in the stream, that is what we are
No one in between, how can we be wrong
Sail away with me to another world
And we rely on each other, uh huh
'Cause we love one another, uh huh",Islands In The Stream,2016
Randy Houser,country,"Black pontiac with a pocket of cash
Foot on the gas ready and throwing up a little of dust
like a pick up truck does in the mud but aint nobody slowing us down right now

She said I need a little something with some get up and go
And nobody knows how to get me going quite like you do when you do the things you do
Wanna give this sleepy podunk town something to talk about

So We were taillights fading from some blue lights chasing
Cut a path through the corn on County Road 44,
Tore up a fence, jumped in a ditch, felt so good
We didnt want it to end so we went

Looking for a dive just to kill some time
Let the heat cool off we could do us some dancin
Didt take long, just a couple of songs
You know its last call when the law comes walkin in

So we were taillights fading from some blue lights chasing
Cut a path through the corn off County Road 44,
Tore up a fence, jumped in a ditch, felt so good
We didnt want it to end so we went

Rocking to the radio, fogging up the windows
Headlights off In a spot nobody else knows

We were taillights fading from some blue lights chasing
Cut a path through the corn on County Road 44,
Tore up a fence, jumped in a ditch, felt so good
We didnt want it to end

Black pontiac with a pocket of cash
Foot on the gas ready and throwing up a little of dust
like a pick up truck does in the mud but aint nobody slowing us down right now",We Went,2016
Eric Church,country,"Hey there, weird kid in your high-top shoes
Sitting in the back of the class; I was just like you
Always left out, never fit in
Owning that path you're walking in
Mr. Misunderstood, Mr. Misunderstood

Now, your buddies get their rocks off on Top 40 radio
But you love your daddy's vinyl, old-time rock and roll
Elvis Costello, Ray Wylie Hubbard, and think Jeff Tweedy is one bad mother
Mr. Misunderstood, Mr. Misunderstood

One day you'll lead the charge, you'll lead the band
Guitar Hero with lightning hands
And the girls will like your tattoos and the veins in your arms
They'll be helpless to your musical charms
And they'll all hold up their hands
And they'll all wanna dance
With Mr. Misunderstood, Mr. Misunderstood

First time I met Alabama Hannah, I was skinny as a rail
Red hair tied up in a blue bandana; she was hotter than the Devil's Hell
She turned me on to Back Porch Pickers, Jackson Pollock, and gin
Her daddy didn't trust my intentions, so he turned to his daddy's old .410
I'm Mr. Misunderstood, Mr. Misunderstood

Had an axe to grind, so off I went
Mad at the sun for coming up again
I lost religion, found my soul in the blues
Rubbed the velvet off my blue suede shoes
Yeah, everybody held up their hands
And every soul on Beale Street danced
With Mr. Misunderstood, Mr. Misunderstood

So I went with it like a colt on my Plymouth
Through the glass behind my rear-view
Took a left when the world went right down 16th Avenue
Played with fire and I played on ledges
Every circus, stage, and county fair
I tried to file my points, sand my edges, and I just grew out my hair
I'm Mr. Misunderstood, I'm Mr. Misunderstood

They're standing in line, chasing the buzz
'Til the next big things and already was
And hell if they know what they're trying to find
If it ain't that same old, been-done kind
Yeah, gives the head-scratchers fits
Wondering how in the hell they missed
Mr. Misunderstood, Mr. Misunderstood

Hey there, weird kid in your high-top shoes
Sitting in the back of the class; I was just like you
Mr. Misunderstood (I understand)
Mr. Misunderstood (I understand)
Mr. Misunderstood (I understand)
Mr. Misunderstood (I understand)
Mr. Misunderstood (I understand)
I'm Mr. Misunderstood (let's go out of here)

Na na na na-na, na na na na-na
Na na na na-na na (I understand)
Na na na na-na, na na na na-na
Na na na na-na na (I understand)
Na na na na-na, na na na na-na
Na na na na-na na (I understand)
Na na na na-na, na na na na-na
Na na na na-na na (I understand)",Mr. Misunderstood,2016
Chris Stapleton,country,"Used to spend my nights out in bar rooms
Liquor was the only love I'd known
But you rescued me from reachin' for the bottle
And brought me back from being too far gone

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

I've looked for love in all the same old places
Found the bottom of a bottle's always dry
But when you poured out your heart, I didn't waste it
'Cause there's nothing like your love to get me high

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

You're as smooth as Tennessee whiskey
Tennessee whiskey, Tennessee whiskey
You're as smooth as Tennessee whiskey
Tennessee whiskey, Tennessee whiskey",Tennessee Whiskey,2016
